family,method,regime,n_assets,budget,noise_level,depth,shot_budget,mitigation_label,mean_best_energy,std_best_energy,mean_gap,mean_ratio,median_best_energy,success_probability,p_succ,mean_valid_ratio,mean_runtime_seconds,mean_runtime_per_call,mean_total_shots,mean_shots_per_call,mean_objective_calls
classical_baseline,local_search,high_corr,6,3,0.0,1,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,high_corr,6,3,0.0,2,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,high_corr,6,3,0.04,1,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,high_corr,6,3,0.04,2,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,clustered,4,2,0.0,1,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,clustered,4,2,0.0,2,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,clustered,4,2,0.04,1,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,clustered,4,2,0.04,2,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,clustered,6,3,0.0,1,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,clustered,6,3,0.0,2,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,clustered,6,3,0.04,1,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,clustered,6,3,0.04,2,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,high_corr,4,2,0.0,1,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,high_corr,4,2,0.0,2,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,high_corr,4,2,0.04,1,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,high_corr,4,2,0.04,2,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,high_corr,6,3,0.0,1,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,high_corr,6,3,0.0,2,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,high_corr,6,3,0.04,1,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,random_search,high_corr,6,3,0.04,2,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,clustered,4,2,0.0,1,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,clustered,4,2,0.0,2,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,clustered,4,2,0.04,1,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,clustered,4,2,0.04,2,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,clustered,6,3,0.0,1,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,clustered,6,3,0.0,2,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,clustered,6,3,0.04,1,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,clustered,6,3,0.04,2,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,high_corr,4,2,0.0,1,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,high_corr,4,2,0.0,2,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,high_corr,4,2,0.04,1,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,high_corr,4,2,0.04,2,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,high_corr,6,3,0.0,1,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,high_corr,6,3,0.0,2,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,high_corr,6,3,0.04,1,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,simulated_annealing,high_corr,6,3,0.04,2,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,1.0,1.0,0.0,,0.0,,0.0
qaoa,bo_direct,clustered,4,2,0.0,1,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,0.3203125,0.3671875,0.044867753982543945,0.00897355079650879,640.0,128.0,4.0
qaoa,bo_direct,clustered,4,2,0.0,1,32,readout,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,0.32320464650789904,0.369150910112593,0.07902741432189941,0.015805482864379883,640.0,128.0,4.0
qaoa,bo_direct,clustered,4,2,0.0,1,32,readout+zne,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,0.4050546947282812,0.4649397537077456,0.0028243064880371094,0.0009414354960123698,800.0,266.6666666666667,2.0
qaoa,bo_direct,clustered,4,2,0.0,2,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,0.375,0.4375,0.030478954315185547,0.006095790863037109,640.0,128.0,4.0
qaoa,bo_direct,clustered,4,2,0.0,2,32,readout,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,0.37710363666216545,0.4405827720959982,0.034233808517456055,0.006846761703491211,640.0,128.0,4.0
qaoa,bo_direct,clustered,4,2,0.0,2,32,readout+zne,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,0.44599118915569425,0.5418904667269975,0.0026040077209472656,0.0008680025736490885,800.0,266.6666666666667,2.0
qaoa,bo_direct,clustered,4,2,0.04,1,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,0.328125,0.375,0.04135704040527344,0.008271408081054688,640.0,128.0,4.0
qaoa,bo_direct,clustered,4,2,0.04,1,32,readout,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,0.33108893367979264,0.3767592774497139,0.06076192855834961,0.012152385711669923,640.0,128.0,4.0
qaoa,bo_direct,clustered,4,2,0.04,1,32,readout+zne,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,0.44063554716997966,0.5015664579659185,0.002553224563598633,0.0008510748545328776,800.0,266.6666666666667,2.0
qaoa,bo_direct,clustered,4,2,0.04,2,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,0.375,0.4375,0.0854489803314209,0.01708979606628418,640.0,128.0,4.0
